NAME,ADDRESS,DINE-IN,TAKEOUT,DELIVERY,DRIVE-THROUGH,CURBSIDE-PICKUP,PHONE,CUISINE,RATING,TIMING-START,TIME-END,CITIES,,,,,,,,,,,
big Jerry Indy food truck,8522 Madison Ave,,,No-contact delivery,Drive-through,,(317) 331-9921,American,5,11,19.5,Indianapolis,,,,,,,,,,,
El Pastor Taco Truck,1053997,,,,,,,Mexican,4.7,,,Indianapolis,,,,,,,,,,,
Taco food truck,5621 N Parker Ave,Dine-in,Takeout,,,,(317) 629-2332,Mexican,,17,24,Indianapolis,,,,,,,,,,,
Super Tacos food truck,7202 E Washington St ,Dine-in,Takeout,,,,(317) 490-2417,Mexican,4.6,,,Indianapolis,,,,,,,,,,,
Mi Lindo Pénjamo - Food Truck,7910 Michigan Rd ,Dine-in,Takeout,,,,(317) 431-4439,Mexican,4.5,19.5,24,Indianapolis,,,,,,,,,,,
The Latin Flavor - Food Truck,9130 E 38th St ,Dine-in,,No-contact delivery,,Curbside pickup,(317) 895-9259,Mexican,4.1,11,22,Indianapolis,,,,,,,,,,,
Pico de Gallo Food Truck,3014 Lafayette Rd #3000,Dine-in,Takeout,,,,(317) 658-6970,Mexican,4.5,17,4,Indianapolis,,,,,,,,,,,
Antojitos Guzman food truck #1,4853 W 56th St,Dine-in,,Delivery,Drive-through,,,Mexican,3.5,4,19.5,Indianapolis,,,,,,,,,,,
El Viejon Food Truck,3612 W 30th St ,Dine-in,,Delivery,Drive-through,,(317) 854-2999,Mexican,1,14.5,1,Indianapolis,,,,,,,,,,,
La marina Maxican Food Truck,7155 Madison Ave,Dine-in,Takeout,,,,,Mexican,4,,,Indianapolis,,,,,,,,,,,
Ponchitos Mexican Food Truck,3045 English Ave ,,,,,,(479) 372-8447,Mexican,5,,,Indianapolis,,,,,,,,,,,
The Night Owl Food Truck,"South and, S Meridian St ",Dine-in,,,,Curbside pickup,(267) 207-9828,American,5,20.5,3.5,Indianapolis,,,,,,,,,,,
Oasis Taco Truck,"en el parqueadero de Vision Hair salon, 7085 N Michigan Rd ",Dine-in,Takeout,,,,(317) 746-3409,Mexican,5,20,23,Indianapolis,,,,,,,,,,,
Emergency Taco Truck,7001 Pendleton Pike ,,,No-contact delivery,,Curbside pickup,(317) 287-9852,Mexican,4.7,15,21,Indianapolis,,,,,,,,,,,
FELIX TACOS TRUCK,3145 W Washington St ,Dine-in,Takeout,Delivery,,,(347) 489-5554,Mexican,4.5,17,24,Indianapolis,,,,,,,,,,,
El Buenavista Food Truck,5210 English Ave ,Dine-in,,,Drive-through,,(317) 629-8198,Mexican,5,14,5,Indianapolis,,,,,,,,,,,
Food Truck Don Luis,3605 Commercial Dr ,Dine-in,Takeout,,,,(317) 795-5980,Mexican,3,18,24,Indianapolis,,,,,,,,,,,
ClusterTruck,729 N Pennsylvania St ,,Takeout,Delivery,,,(317) 732-1084,Mediterranean,4.5,10,23,Indianapolis,,,,,,,,,,,
El Amigo Taqueria Food Truck,3356 W 16th St ,Dine-in,,,,Curbside pickup,(317) 452-0422,Mexican,4.3,12,24,Indianapolis,,,,,,,,,,,
TACOPOLIS (LA CAPITAL DEL TACO),4857 W 38th St ,,Takeout,,,,(317) 488-8724,Mexican,4.4,14.5,23.5,Indianapolis,,,,,,,,,,,
Tha Corn Man,2442 Central Ave ·,,,Delivery,,Curbside pickup,(317) 360-2900,-,3.5,15,21,Indianapolis,,,,,,,,,,,
